target_variant,model_type,listing_id,make,model,brand,price_eur,mileage_km,age_years,power_hp,fuel_type,listing_country,price_label,top_price,top_price_plus_good_price,threshold_used,probability_positive_label,predicted_positive_label,review_rank
top_price_only,Random Forest,696,audi,a3,audi,12999,141999.0,8.0,116.0,diesel,germany,top-price,1,1,0.5,0.4792387637588401,0,1105
top_price_only,Random Forest,1046,audi,a3,audi,12400,99800.0,10.0,125.0,petrol,germany,top-price,1,1,0.5,0.47920553069433025,0,1106
top_price_only,Random Forest,97,audi,a3,audi,22940,95181.0,3.0,150.0,diesel,germany,top-price,1,1,0.5,0.47902785462516556,0,1107
top_price_only,Random Forest,1867,audi,a3,audi,22940,95181.0,3.0,150.0,diesel,germany,top-price,1,1,0.5,0.47902785462516556,0,1108
top_price_only,Random Forest,1060,audi,a3,audi,12400,127000.0,11.0,150.0,petrol,germany,top-price,1,1,0.5,0.47890741858447916,0,1109
top_price_only,Random Forest,2164,audi,a3,audi,21390,91220.0,3.0,116.0,diesel,germany,fair-price,0,0,0.5,0.4788046715135665,0,1110
top_price_only,Random Forest,1645,audi,a3,audi,11500,75000.0,11.0,122.0,petrol,germany,top-price,1,1,0.5,0.4786885797480664,0,1111
top_price_only,Random Forest,501,audi,a3,audi,18450,59841.0,6.0,116.0,petrol,germany,fair-price,0,0,0.5,0.4780335844648993,0,1112
top_price_only,Random Forest,960,audi,a3,audi,30990,79528.0,3.0,200.0,diesel,germany,top-price,1,1,0.5,0.4779641974763391,0,1113
top_price_only,Random Forest,3010,audi,a3,audi,17800,75000.0,6.0,116.0,petrol,germany,fair-price,0,0,0.5,0.4778725065416104,0,1114
top_price_only,Random Forest,1615,audi,a3,audi,16900,149624.0,6.0,150.0,diesel,germany,good-price,0,1,0.5,0.4778115140273891,0,1115
top_price_only,Random Forest,1148,audi,a3,audi,22497,35800.0,2.0,110.0,petrol,germany,good-price,0,1,0.5,0.47760522532071753,0,1116
top_price_only,Random Forest,2938,audi,a3,audi,29920,14417.0,1.0,150.0,2,germany,good-price,0,1,0.5,0.4772954391898323,0,1117
top_price_only,Random Forest,2706,audi,a3,audi,36980,3130.0,0.0,150.0,petrol,germany,unknown,0,0,0.5,0.4771768168464462,0,1118
top_price_only,Random Forest,1068,audi,a3,audi,12500,174500.0,12.0,179.0,petrol,germany,top-price,1,1,0.5,0.4771679167471092,0,1119
top_price_only,Random Forest,2470,audi,a3,audi,18800,57035.0,6.0,116.0,petrol,germany,good-price,0,1,0.5,0.47711034885478165,0,1120
top_price_only,Random Forest,1346,audi,a3,audi,12999,190000.0,8.0,150.0,diesel,germany,top-price,1,1,0.5,0.47707064243889474,0,1121
top_price_only,Random Forest,2562,audi,a3,audi,26430,12906.0,1.0,150.0,petrol,germany,fair-price,0,0,0.5,0.4767948685602273,0,1122
top_price_only,Random Forest,285,audi,a3,audi,12480,148850.0,9.0,125.0,petrol,germany,top-price,1,1,0.5,0.47655743005203405,0,1123
top_price_only,Random Forest,1599,audi,a3,audi,15900,91500.0,6.0,116.0,petrol,germany,fair-price,0,0,0.5,0.4762885779523102,0,1124
top_price_only,Random Forest,2792,audi,a3,audi,21980,106614.0,4.0,150.0,petrol,germany,fair-price,0,0,0.5,0.476199837300257,0,1125
top_price_only,Random Forest,370,audi,a3,audi,11490,29950.0,12.0,122.0,petrol,germany,top-price,1,1,0.5,0.47610738881816006,0,1126
top_price_only,Random Forest,1057,audi,a3,audi,21970,107000.0,3.0,150.0,petrol,germany,good-price,0,1,0.5,0.4759835731999405,0,1127
top_price_only,Random Forest,2907,audi,a3,audi,22230,67968.0,3.0,110.0,petrol,germany,fair-price,0,0,0.5,0.47583128756527904,0,1128
top_price_only,Random Forest,1778,audi,a3,audi,13497,110350.0,12.0,179.0,petrol,germany,good-price,0,1,0.5,0.4757592564087379,0,1129
top_price_only,Random Forest,1650,audi,a3,audi,17990,167500.0,3.0,150.0,petrol,germany,good-price,0,1,0.5,0.4754427622725184,0,1130
top_price_only,Random Forest,1970,audi,a3,audi,39880,3500.0,0.0,150.0,petrol,germany,unknown,0,0,0.5,0.4753605361169718,0,1131
top_price_only,Random Forest,2373,audi,a3,audi,21480,166861.0,3.0,150.0,diesel,germany,fair-price,0,0,0.5,0.4752636883543965,0,1132
top_price_only,Random Forest,3213,audi,a3,audi,34990,27419.0,0.0,150.0,petrol,germany,good-price,0,1,0.5,0.4752144624840916,0,1133
top_price_only,Random Forest,2763,audi,a3,audi,19250,183395.0,3.0,116.0,diesel,germany,fair-price,0,0,0.5,0.47520493555399423,0,1134
top_price_only,Random Forest,778,audi,a3,audi,14900,92338.0,10.0,150.0,petrol,germany,top-price,1,1,0.5,0.47519348061349076,0,1135
top_price_only,Random Forest,1918,audi,a3,audi,14900,121000.0,8.0,150.0,petrol,germany,good-price,0,1,0.5,0.4746606821834435,0,1136
top_price_only,Random Forest,2128,audi,a3,audi,12090,101732.0,10.0,125.0,petrol,germany,good-price,0,1,0.5,0.474396504115425,0,1137
top_price_only,Random Forest,1161,audi,a3,audi,22750,117500.0,3.0,150.0,diesel,germany,top-price,1,1,0.5,0.47438509848887406,0,1138
top_price_only,Random Forest,77,audi,a3,audi,15990,112496.0,6.0,116.0,petrol,germany,good-price,0,1,0.5,0.47437085449714395,0,1139
top_price_only,Random Forest,1383,audi,a3,audi,15990,112496.0,6.0,116.0,petrol,germany,good-price,0,1,0.5,0.47437085449714395,0,1140
top_price_only,Random Forest,1474,audi,a3,audi,12600,124300.0,10.0,150.0,petrol,germany,good-price,0,1,0.5,0.47434390573796814,0,1141
top_price_only,Random Forest,2146,audi,a3,audi,14990,109000.0,6.0,116.0,petrol,germany,fair-price,0,0,0.5,0.4741299633941721,0,1142
top_price_only,Random Forest,2585,audi,a3,audi,16970,104100.0,7.0,150.0,petrol,germany,somewhat-expensive,0,0,0.5,0.4740748520736189,0,1143
top_price_only,Random Forest,877,audi,a3,audi,11890,129660.0,7.0,116.0,petrol,germany,good-price,0,1,0.5,0.473639523805873,0,1144
top_price_only,Random Forest,289,audi,a3,audi,16980,108000.0,7.0,150.0,petrol,germany,top-price,1,1,0.5,0.4734891434465336,0,1145
top_price_only,Random Forest,2158,audi,a3,audi,16980,107300.0,7.0,150.0,petrol,germany,good-price,0,1,0.5,0.4734891434465336,0,1146
top_price_only,Random Forest,352,audi,a3,audi,16900,77000.0,10.0,150.0,petrol,germany,top-price,1,1,0.5,0.4734662107502591,0,1147
top_price_only,Random Forest,1878,audi,a3,audi,13900,146600.0,8.0,150.0,petrol,germany,fair-price,0,0,0.5,0.47281584482129757,0,1148
top_price_only,Random Forest,1022,audi,a3,audi,14000,80100.0,8.0,116.0,petrol,germany,top-price,1,1,0.5,0.4727749139627675,0,1149
top_price_only,Random Forest,490,audi,a3,audi,10490,105113.0,12.0,105.0,petrol,germany,top-price,1,1,0.5,0.472252102946797,0,1150
top_price_only,Random Forest,1570,audi,a3,audi,14990,112000.0,7.0,150.0,petrol,germany,unknown,0,0,0.5,0.4722374117929531,0,1151
top_price_only,Random Forest,3052,audi,a3,audi,21984,60324.0,2.0,110.0,petrol,germany,fair-price,0,0,0.5,0.47221523645693153,0,1152
top_price_only,Random Forest,953,audi,a3,audi,11300,136000.0,11.0,140.0,petrol,germany,top-price,1,1,0.5,0.47211783957476394,0,1153
top_price_only,Random Forest,2039,audi,a3,audi,21960,76425.0,5.0,150.0,petrol,germany,fair-price,0,0,0.5,0.47136962029756346,0,1154
